model,accuracy
lr-c9410001da62eb84b0358ddceb4e3f84,0.7661
lr-c956bf2a8aadba62c61cca3f6bcb5837,0.7396
lr-ca88de46a2e601f7ccd66960a022c862,0.7656
lr-cb8c3e05782fc34f77cdd07178d45ec9,0.3099
lr-cbce2ab9a23117aa5352a6eadfd4e597,0.5336
lr-cc57b45605769121357f143391b8e365,0.5960
lr-cd9e208de1fce86c2ef8d69e96b09380,0.5236
lr-ce089838bd6c9fb29b37f08cb18c873e,0.7342
lr-cea842399bef1e77ae9878796bcf8f73,0.7838
lr-cffea8c79679361345cf4e383fab5dca,0.7979
lr-d063c52898139abc0899504bd76d3339,0.5948
lr-d0f5acb293552b0441aad26a0d8c2a47,0.6809
lr-d1162d13ab9f307bac6783ebb9b75d6e,0.4132
lr-d30679ca5c368df7feee88a453f53c79,0.3707
lr-d40fee0d47ecd6b58d2c7a07a3d00df0,0.2799
lr-d47ce72504a36aff8cb39e41e2d3c27d,0.1605
lr-d5448e4432f6715baebbfd405a445b85,0.5078
lr-d5f7fc416dc43aeca482a2e327244c1f,0.3612
lr-d6d4d3d388d9e2e574ed09942d600204,0.5204
lr-d6fc45193c2150497c8bf56ca31e6600,0.4619
lr-d737115fda43d9e4d5dfe85dcdd4308c,0.4706
lr-d770453e405bf573d594271f2c73682e,0.3777
lr-d88186965e91781e7aacd206191bda2b,0.8096
lr-d9582de70d953cb5963bfc14a64b08ec,0.3803
lr-d9e72f500860cc3e75267ebdec5634ed,0.3307
lr-dab5c617ba23be9579bd08fa4c9cc52e,0.4572
lr-db5c42fde94d88541b7fc91b7ba32818,0.8010
lr-db9e41a51d332e1874839ea6518738f8,0.8300
lr-dc060b3d57870fc28268a1443c2b79e4,0.2272
lr-dc2b03a6d2262ec66b0fddf1917ff7a0,0.7874
lr-dd1d37bbd4b3564369a6c5b0ff5b8af3,0.3260
lr-deade8548c3e352825eca38ceea2c864,0.4427
lr-deca706be9baed75a2fcba362e345fbc,0.4487
lr-df1092993bcdc580748cb20b421bcc15,0.4192
lr-df1dd5276abbb03e50a654df19b221a4,0.4527
lr-df2817f3c59927c959fcc65054681c61,0.8079
lr-df939be4f42031a577369d104c1c465e,0.6916
lr-dfacd439d4da6a6b3a7c1d5504c4acb8,0.8224
lr-e05404367b20485ce33ca7ae2f4410b2,0.4126
lr-e054761e73d10967ff77f93c745e3db3,0.5828
lr-e10928087331a8c43800b9ac2b0e0c08,0.2835
lr-e17d60c7f0b3fc06e894a1adfce23c8a,0.2323
lr-e1b3b7c3b71175a2bc935138838958dc,0.2792
lr-e1ce25b6c42279d42efe770139a2c399,0.4016
